name,image_url
Bulgogi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bulgogi_lzKkFkGw1.jpg
Korean Fried Chicken,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Korean_Fried_Chicken_dkmsh9ClB.jpg
Tteokbokki,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Tteokbokki_dHoV_P6jw.jpg
Pad Thai,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pad_Thai_xJhBXuIU4.jpg
Tom Yum Soup,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Tom_Yum_Soup_T01bDIk4sq.jpg
Thai Green Curry,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Thai_Green_Curry_CDKBLSUMm.jpg
Mango Sticky Rice,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Mango_Sticky_Rice_oztKvbf_ce.jpg
Thai Fried Rice,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Thai_Fried_Rice_5uJddcKEU.jpg
Pho,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pho_yBrMx9l30.jpg
Banh Mi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Banh_Mi_KbEOpzcLf.jpg
Vietnamese Spring Rolls,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Vietnamese_Spring_Rolls_5pF5ezO42.jpg
Bun Cha,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bun_Cha_QFkFyq7Za.jpg
Butter Chicken,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Butter_Chicken_cs7GvG_Gh.jpg
Palak Paneer,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Palak_Paneer_kftwrPBcJ.jpg
Naan,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Naan_0fncAcK9K.jpg
Tandoori Chicken,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Tandoori_Chicken_wes2IzAvT.jpg
Chana Masala,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chana_Masala_NVuJzKOTyE.jpg
Masala Dosa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Masala_Dosa_IGWVteWOk.jpg
Idli,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Idli_lJuh7cZrm.jpg
Rogan Josh,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Rogan_Josh_E33gMCFjz0.jpg
Nasi Goreng,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Nasi_Goreng_-me7zUFC8.jpg
Chicken Satay,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Satay_Z7iTYWLlN.jpg
Beef Rendang,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Beef_Rendang_9SzaI5skp.jpg
Sugar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Sugar_cMUkxCXV9.jpg
Salt,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Salt_lZNxidH0T.jpg
Chocolate,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chocolate_cDK9pYU9z.jpg
Udon,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Udon_PtY3DjUMD.jpg
Kung Pao Chicken,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kung_Pao_Chicken_o4wvDwLkhb.jpg

